category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Ghost Pines 2014 Winemaker's Blend Pinot Noir (California),Pinot Noir,23.0,750 ml,87,Ghost Pines,"Delicious and easy to drink, this is medium bodied and moderately fruity, with fresh spice and just-baked bread aromas. A perfect house wine to keep in stock.",14.2%
White,US,Sheldrake Point 2015 Estate Bottled Riesling (Finger Lakes),Riesling,16.0,750 ml,87,Sheldrake Point,Dusty mineral and candied orange rind lend a savory tone to pressed apple and pear in this surprisingly big-bodied off-dry Riesling. Soft tangerine acidity and a yielding red-apple fruit profile lends a broad warmth to the finish.,13.1%
White,US,The Naked Grape NV Chardonnay (California),Chardonnay,18.0,3 L,86,The Naked Grape,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",13%
Red,US,Tin Barn 2013 Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,36.0,750 ml,86,Tin Barn,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",14.5%
Red,US,Sequum 2013 Four Soil Mlange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,60.0,750 ml,90,Sequum,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",14.4%
Red,US,Rancho Sisquoc 2014 Cabernet Sauvignon (Santa Barbara County),Cabernet Sauvignon,25.0,750 ml,87,Rancho Sisquoc,"Black cherry richness meets a slight tang of bell pepper on the nose of this bottling. The palate echos that herbal quality with its oregano and marjoram flavors, finishing on spicy black pepper and kirsch.",14.5%
Red,US,Belle Ambiance 2015 Cabernet Sauvignon (California),Cabernet Sauvignon,10.0,750 ml,86,Belle Ambiance,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tanniceasy to drink and enjoy.",13%
Red,US,Ehret 2010 Bella's Blend Cabernet Sauvignon-Cabernet Franc (Knights Valley),Cabernet Sauvignon-Cabernet Franc,48.0,750 ml,86,Ehret,"This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age.",14.5%
Red,US,Terra Valentine 2014 Cabernet Sauvignon,Cabernet Sauvignon,50.0,750 ml,87,Terra Valentine,"Thick, tannic and somewhat astringent, this wine blends 80% Cabernet Sauvignon with 10% Merlot, 6% Cabernet Franc and 4% Petite Sirah. Tar and tobacco flavors and a leathery mouthfeel give it a loud voice of powerful ripeness.",14.9%
White,US,Bedell 2015 First Crush White (North Fork of Long Island),White Blend,30.0,750 ml,87,Bedell,"Like many of Bedell's whites, there's a dense outer layer of smoky flint and match notes upon uncorking that obscure this wine's prettier fruit and mineral tones. With substantial aeration, this blend of Chardonnay, Sauvignon Blanc and Riesling shows its brisk lemony demeanor. Dry in style with a zippy light-footed feel, it makes a lovely aperitif or accompaniment to delicate fish courses.",11%
Dessert,US,EOS 2015 Tears of Dew Late Harvest Moscato (Paso Robles),Moscato,20.0,750 ml,86,EOS,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency.",10%
White,US,Hawk Watch Winery 2016 Viognier (South Coast),Viognier,24.0,750 ml,86,Hawk Watch Winery,"Juicy kiwi, lime blossom and sour apple candy aromas show on the nose of this ripe whitethe first 2016 submitted from the region. The palate is oily in texture, with honeydew and more lime-kiwi-bubblegum flavors.",13.5%
Red,US,Hestan 2011 Stephanie Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,50.0,750 ml,86,Hestan,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",14.8%
White,US,Kunde 2015 Magnolia Lane Estate Grown Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,17.0,750 ml,87,Kunde,"This wine is lightly layered and linear, with stony green apple notes over a backdrop of toasted brioche.",13.8%
White,US,Hawley 2015 Hopkins River Ranch Chardonnay (Russian River Valley),Chardonnay,32.0,750 ml,87,Hawley,"Honeysuckle and jasmine punctuate the pretty aromas on the nose of this wine, which is tart and lemony on the palate. Intensely flavored, the oak is subtle and supportive.",13.5%
Red,US,Hawk Watch Winery 2013 Meritage (South Coast),Meritage,30.0,750 ml,87,Hawk Watch Winery,"Tightly wound blueberry, black plum and barnyard aromas show on the nose of this Bordeaux blend. Presented with judicious acidity, the palate combines its fruit flavors with savory touches of smoked meat and licorice, finishing on a salted caramel note.",13.7%
White,US,Gregory Graham 2014 Wedge Block Chardonnay (Lake County),Chardonnay,25.0,750 ml,87,Gregory Graham,"Very rich in texture and lightly sweet in flavor, this wine smells citrusy and crisp but tastes full and soft. It has ripe pear and peach flavors and a lingering, honey-like finish.",14.1%
Red,US,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,28.0,750 ml,90,Sierra Starr,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",14%
White,US,Three Brothers 2015 1 Degree of Riesling Medium Dry Riesling (Finger Lakes),Riesling,16.0,750 ml,87,Three Brothers,The nose on this off-dry Riesling is quite closed still but time and aeration allow fresh grapefruit and lemon notes to come through nicely. Zesty acidity is offset by softer flavors of red apple and tangerine along with savory nuances of nut and earth.,12%
Red,US,Pure Cru 2012 PureCoz Red (Napa Valley),Red Blend,65.0,750 ml,90,Pure Cru,"Cedar, pencil and wild mushroom scents accent the nose of this winea blend of 40% Cabernet Sauvignon, 20% Cabernet Franc, 20% Merlot and 10% Sangiovese. Generous tannins give additional weight to the overall concentration. The finish feels dusted with spicy clove.",14.8%
White,US,Parducci 2015 Small Lot Blend Chardonnay (Mendocino County),Chardonnay,13.0,750 ml,86,Parducci,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",14%
Red,US,Kitchen Sink NV Red (California),Red Blend,13.0,750 ml,86,Kitchen Sink,"This is a smooth-textured, medium-bodied wine that opens with brown sugar and maple aromas, leads to ripe cherry and blackberry flavors and finishes with a hint of sweetness.",12.5%
Rose,US,Patland 2015 Lill in Fiore Ros (Napa Valley),Ros,38.0,750 ml,90,Patland,"This combines Syrah and Malbec, barrel aging the blend for six months to achieve a deep cranberry color. Biscuit and strawberry scents appear on the nose as well as a suggestion of Nilla wafer. It finishes dry.",14.4%
White,US,LangeTwins 2015 Estate Grown Chardonnay (Clarksburg),Chardonnay,15.0,750 ml,86,LangeTwins,"Extremely buttery in both aroma and flavor, this wine feels smooth and creamy on the palate due to its full body and soft acidity.",14.3%
White,US,Latah Creek 2015 DenHoed Vineyards Pinot Gris (Yakima Valley),Pinot Gris,11.0,750 ml,86,Latah Creek,"Starting off slightly reduced, this wine has aromas of dried red apple that lead to just off-dry, full apple flavors, finishing bitter.",12.5%
Rose,US,Robert Hall 2015 Rose de Robles Ros (Paso Robles),Ros,14.0,750 ml,86,Robert Hall,"Deep pink in color, this blend of 42% Syrah, 30% Grenache, 11% Cinsaut, 11% Mourvdre and 6% Counoise offers light strawberry and pomegranate aromas on the tightly wound nose. Bountiful, refreshing acidity powers the palate, but the flavors are sparse, just hinting at sour raspberry and pomegranate.",13%
White,US,South Coast 2016 Dry Gewurztraminer (Temecula Valley),Gewrztraminer,20.0,750 ml,86,South Coast,"Round peach, ripe nectarine, melon and Anjou pear aromas shows on the nose of this bottling, tempered by a grassy and wet steel character. The palate shows poached apple and pear flavors, accented with lime.",13.7%
Red,US,Estancia 2014 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,14.0,750 ml,87,Estancia,"Slightly shy dark fruit, spice and gravel aromas show on the nose of this affordably priced bottling. Cranberry, dried herb and mineral flavors are apparent on the palate, which finishes on a fruit punch note.",13.5%
Red,US,Charles Krug 2013 Limited Release Cold Springs Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,125.0,750 ml,86,Charles Krug,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",15.8%
Red,US,Ironstone 2015 Cabernet Franc (Lodi),Cabernet Franc,12.0,750 ml,86,Ironstone,"Strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors, giving this wine extreme personality. It has medium body and rather soft tannins and texture to balance.",13.5%
White,US,Bellwether 2014 Sawmill Creek Vineyard Riesling (Finger Lakes),Riesling,22.0,750 ml,90,Bellwether,"Glimpses of savory earth and pressed apple on the nose turn brighter and fresher on the palate of this exceptionally light, honey-kissed Riesling. It's an interesting wine that calibrates dark and light elements deftly. Bristling notes of lemon juice and pith lead a long pleasantly astringent finish.",8.7%
Red,US,Arndt 2014 Benito Dusi Vineyard Zinfandel (Paso Robles),Zinfandel,34.0,750 ml,90,Arndt,"This is a well-built, elegant Zinfandel, with restrained blackberry, sagebrush and wet clay aromas on the nose. A chalky structure shows on the palate, where wild mint and thyme notes add nuance to the elderberry and black plum skin flavors. Patience and cellar time will allow further aromatic layers to emerge.",15.1%
White,US,Kitchen Sink NV White (California),White Blend,13.0,750 ml,86,Kitchen Sink,"This wine is dry and substantial, emphasizing earthy, savory flavors over fruity ones. An attractive walnut and almond element carries through from the aroma to the flavors.",12.5%
White,US,Kuleto Estate 2014 Homestead Block Chardonnay (Napa Valley),Chardonnay,45.0,750 ml,86,Kuleto Estate,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",13.9%
Red,US,Camp 2015 Zinfandel (Sonoma County),Zinfandel,18.0,750 ml,87,Camp,"A youthful, light-bodied and exuberant expression of the variety, this shows raspberry, vanilla and currant flavors, with a tangy tartness of citrus on the palate. Oaky tannin comes through on the finish.",13.4%
White,US,Leaping Horse 2015 Chardonnay (California),Chardonnay,10.0,750 ml,86,Leaping Horse,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",13.5%
White,US,Martinez & Martinez 2015 Tudor Hills Vineyard Pinot Grigio (Yakima Valley),Pinot Grigio,17.0,750 ml,86,Martinez & Martinez,"Aromas of ripe (leaning almost overripe) apple, melon and orange peel are followed by medium-sweet fruit flavors. It needs more acid to stand it up.",12.14%
Red,US,Vin Vault NV Merlot (California),Merlot,20.0,3 L,87,Vin Vault,"Robust, dry and firmly textured, this wine is built like a higher tier bottling and has the stuffing to pair with steak or prime rib. The flavors suggest black cherry and dark chocolate, with firm tannins providing weight.",13.5%
Red,US,Mounts 2014 Verah Red (Dry Creek Valley),Rhne-style Red Blend,36.0,750 ml,90,Mounts,"This is a big, brawny expression of Grenache, Mourvdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",15.5%
White,US,Wlffer 2015 The Grapes of Roth Virgin Berry Dry Riesling (North Fork of Long Island),Riesling,32.0,750 ml,90,Wlffer,"Roth's virgin berry Riesling, made from tiny seedless grapes, typically exhibits an intensity of flavor distinct from its standard-labeled bottling. This vintage suggests a deeply mineral-intense expression with concentrated lime and tart tangerine flavors layered in dusty minerals and earth tones. It's zippy and light in body but finishes with piercing lemon-lime intensity.",11.5%
Red,US,Niner 2013 Jespersen Ranch Petite Sirah (Edna Valley),Petite Sirah,50.0,750 ml,90,Niner,"Blueberry jam, dark chocolate and mint notes show on the nose of this Petite Sirahone of the last vintages before its vines were grafted over to another variety, the region considered too cool for consistent ripening. The wine hits the palate like a soft pillow, with polished tannins yielding to blueberry and violet flavors.",14.9%
White,US,Ironstone 2015 Chardonnay (Lodi),Chardonnay,12.0,750 ml,87,Ironstone,"Light oak and butter aromas add complexity to this fresh and fruity wine. It has medium body, crisp acidity, mild citrus and green apple flavors with a tangy finish.",11.5%
Red,US,Latah Creek NV Mike's Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,20.0,750 ml,88,Latah Creek,"This wine is a blend of Cabernet Sauvignon (58%), Malbec (22%) and Merlot. Aromas of blue and red fruit and spice lead to tart, broad fruit flavors that winnow somewhat toward the finish. Still, it brings a lot of enjoyment.",13.5%
